Pass,Dice TC,Dice WT,Dice ET,Dice Mean,HD95 TC,HD95 WT,HD95 ET,HD95 Mean
1,0.8784,0.9202,0.8601,0.8862,4.92,5.09,5.15,5.05
2,0.8784,0.9198,0.8609,0.8863,4.93,5.11,5.11,5.05
3,0.8785,0.9200,0.8607,0.8864,4.80,5.23,5.03,5.02
4,0.8785,0.9198,0.8609,0.8864,4.91,4.88,5.11,4.97
5,0.8778,0.9196,0.8597,0.8857,4.60,4.94,4.83,4.79
6,0.8789,0.9201,0.8612,0.8867,4.82,5.14,5.04,5.00
7,0.8773,0.9196,0.8600,0.8856,4.95,4.98,5.16,5.03
8,0.8784,0.9200,0.8607,0.8864,5.05,5.15,5.29,5.16
9,0.8784,0.9198,0.8606,0.8863,5.03,5.09,5.20,5.10
10,0.8785,0.9199,0.8608,0.8864,4.78,4.86,5.01,4.88
11,0.8783,0.9199,0.8610,0.8864,4.87,4.86,5.10,4.95
12,0.8786,0.9198,0.8609,0.8864,4.94,4.89,5.14,4.99
13,0.8779,0.9202,0.8603,0.8861,4.59,4.97,4.81,4.79
14,0.8788,0.9200,0.8610,0.8866,4.88,5.12,5.08,5.03
15,0.8793,0.9200,0.8614,0.8869,5.03,4.99,5.27,5.10
16,0.8777,0.9199,0.8601,0.8859,4.82,5.04,5.05,4.97
17,0.8786,0.9202,0.8610,0.8866,4.93,4.96,5.13,5.01
18,0.8777,0.9199,0.8595,0.8857,4.87,5.13,5.10,5.03
19,0.8777,0.9201,0.8601,0.8860,5.03,4.91,5.24,5.06
20,0.8779,0.9201,0.8600,0.8860,5.08,4.89,5.33,5.10
Mean ± Std,0.8783±0.0005,0.9200±0.0002,0.8605±0.0005,0.8863±0.0004,4.89±0.13,5.01±0.11,5.11±0.13,5.00±0.12
